Name,Repo-URL,Languages
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
Akan-Names,https://api.github.com/repos/ezekielkibiego/Akan-Names,JavaScript
Anitas-Kitchen,https://api.github.com/repos/ezekielkibiego/Anitas-Kitchen,HTML
ApacheCamel-SpringBoot-Project,https://api.github.com/repos/ezekielkibiego/ApacheCamel-SpringBoot-Project,Java
apis,https://api.github.com/repos/ezekielkibiego/apis,Python
apis-js,https://api.github.com/repos/ezekielkibiego/apis-js,JavaScript
async,https://api.github.com/repos/ezekielkibiego/async,JavaScript
async-http-client,https://api.github.com/repos/ezekielkibiego/async-http-client,
auth_apis,https://api.github.com/repos/ezekielkibiego/auth_apis,Python
Awwwards,https://api.github.com/repos/ezekielkibiego/Awwwards,Python
BalanceInq,https://api.github.com/repos/ezekielkibiego/BalanceInq,Java
BankApp,https://api.github.com/repos/ezekielkibiego/BankApp,Java
BankApp_Revised,https://api.github.com/repos/ezekielkibiego/BankApp_Revised,Java
Blog-Web,https://api.github.com/repos/ezekielkibiego/Blog-Web,HTML
blogsite,https://api.github.com/repos/ezekielkibiego/blogsite,Python
blog_site,https://api.github.com/repos/ezekielkibiego/blog_site,Python
boilerplate-npm,https://api.github.com/repos/ezekielkibiego/boilerplate-npm,
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
Akan-Names,https://api.github.com/repos/ezekielkibiego/Akan-Names,JavaScript
Anitas-Kitchen,https://api.github.com/repos/ezekielkibiego/Anitas-Kitchen,HTML
ApacheCamel-SpringBoot-Project,https://api.github.com/repos/ezekielkibiego/ApacheCamel-SpringBoot-Project,Java
apis,https://api.github.com/repos/ezekielkibiego/apis,Python
apis-js,https://api.github.com/repos/ezekielkibiego/apis-js,JavaScript
async,https://api.github.com/repos/ezekielkibiego/async,JavaScript
async-http-client,https://api.github.com/repos/ezekielkibiego/async-http-client,
auth_apis,https://api.github.com/repos/ezekielkibiego/auth_apis,Python
Awwwards,https://api.github.com/repos/ezekielkibiego/Awwwards,Python
BalanceInq,https://api.github.com/repos/ezekielkibiego/BalanceInq,Java
BankApp,https://api.github.com/repos/ezekielkibiego/BankApp,Java
BankApp_Revised,https://api.github.com/repos/ezekielkibiego/BankApp_Revised,Java
Blog-Web,https://api.github.com/repos/ezekielkibiego/Blog-Web,HTML
blogsite,https://api.github.com/repos/ezekielkibiego/blogsite,Python
blog_site,https://api.github.com/repos/ezekielkibiego/blog_site,Python
boilerplate-npm,https://api.github.com/repos/ezekielkibiego/boilerplate-npm,
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
Akan-Names,https://api.github.com/repos/ezekielkibiego/Akan-Names,JavaScript
Anitas-Kitchen,https://api.github.com/repos/ezekielkibiego/Anitas-Kitchen,HTML
ApacheCamel-SpringBoot-Project,https://api.github.com/repos/ezekielkibiego/ApacheCamel-SpringBoot-Project,Java
apis,https://api.github.com/repos/ezekielkibiego/apis,Python
apis-js,https://api.github.com/repos/ezekielkibiego/apis-js,JavaScript
async,https://api.github.com/repos/ezekielkibiego/async,JavaScript
async-http-client,https://api.github.com/repos/ezekielkibiego/async-http-client,
auth_apis,https://api.github.com/repos/ezekielkibiego/auth_apis,Python
Awwwards,https://api.github.com/repos/ezekielkibiego/Awwwards,Python
BalanceInq,https://api.github.com/repos/ezekielkibiego/BalanceInq,Java
BankApp,https://api.github.com/repos/ezekielkibiego/BankApp,Java
BankApp_Revised,https://api.github.com/repos/ezekielkibiego/BankApp_Revised,Java
Blog-Web,https://api.github.com/repos/ezekielkibiego/Blog-Web,HTML
blogsite,https://api.github.com/repos/ezekielkibiego/blogsite,Python
blog_site,https://api.github.com/repos/ezekielkibiego/blog_site,Python
boilerplate-npm,https://api.github.com/repos/ezekielkibiego/boilerplate-npm,
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
Akan-Names,https://api.github.com/repos/ezekielkibiego/Akan-Names,JavaScript
Anitas-Kitchen,https://api.github.com/repos/ezekielkibiego/Anitas-Kitchen,HTML
ApacheCamel-SpringBoot-Project,https://api.github.com/repos/ezekielkibiego/ApacheCamel-SpringBoot-Project,Java
apis,https://api.github.com/repos/ezekielkibiego/apis,Python
apis-js,https://api.github.com/repos/ezekielkibiego/apis-js,JavaScript
async,https://api.github.com/repos/ezekielkibiego/async,JavaScript
async-http-client,https://api.github.com/repos/ezekielkibiego/async-http-client,
auth_apis,https://api.github.com/repos/ezekielkibiego/auth_apis,Python
Awwwards,https://api.github.com/repos/ezekielkibiego/Awwwards,Python
BalanceInq,https://api.github.com/repos/ezekielkibiego/BalanceInq,Java
BankApp,https://api.github.com/repos/ezekielkibiego/BankApp,Java
BankApp_Revised,https://api.github.com/repos/ezekielkibiego/BankApp_Revised,Java
Blog-Web,https://api.github.com/repos/ezekielkibiego/Blog-Web,HTML
blogsite,https://api.github.com/repos/ezekielkibiego/blogsite,Python
blog_site,https://api.github.com/repos/ezekielkibiego/blog_site,Python
boilerplate-npm,https://api.github.com/repos/ezekielkibiego/boilerplate-npm,
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
Akan-Names,https://api.github.com/repos/ezekielkibiego/Akan-Names,JavaScript
Anitas-Kitchen,https://api.github.com/repos/ezekielkibiego/Anitas-Kitchen,HTML
ApacheCamel-SpringBoot-Project,https://api.github.com/repos/ezekielkibiego/ApacheCamel-SpringBoot-Project,Java
apis,https://api.github.com/repos/ezekielkibiego/apis,Python
apis-js,https://api.github.com/repos/ezekielkibiego/apis-js,JavaScript
async,https://api.github.com/repos/ezekielkibiego/async,JavaScript
async-http-client,https://api.github.com/repos/ezekielkibiego/async-http-client,
auth_apis,https://api.github.com/repos/ezekielkibiego/auth_apis,Python
Awwwards,https://api.github.com/repos/ezekielkibiego/Awwwards,Python
BalanceInq,https://api.github.com/repos/ezekielkibiego/BalanceInq,Java
BankApp,https://api.github.com/repos/ezekielkibiego/BankApp,Java
BankApp_Revised,https://api.github.com/repos/ezekielkibiego/BankApp_Revised,Java
Blog-Web,https://api.github.com/repos/ezekielkibiego/Blog-Web,HTML
blogsite,https://api.github.com/repos/ezekielkibiego/blogsite,Python
blog_site,https://api.github.com/repos/ezekielkibiego/blog_site,Python
boilerplate-npm,https://api.github.com/repos/ezekielkibiego/boilerplate-npm,
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
Akan-Names,https://api.github.com/repos/ezekielkibiego/Akan-Names,JavaScript
Anitas-Kitchen,https://api.github.com/repos/ezekielkibiego/Anitas-Kitchen,HTML
ApacheCamel-SpringBoot-Project,https://api.github.com/repos/ezekielkibiego/ApacheCamel-SpringBoot-Project,Java
apis,https://api.github.com/repos/ezekielkibiego/apis,Python
apis-js,https://api.github.com/repos/ezekielkibiego/apis-js,JavaScript
async,https://api.github.com/repos/ezekielkibiego/async,JavaScript
async-http-client,https://api.github.com/repos/ezekielkibiego/async-http-client,
auth_apis,https://api.github.com/repos/ezekielkibiego/auth_apis,Python
Awwwards,https://api.github.com/repos/ezekielkibiego/Awwwards,Python
BalanceInq,https://api.github.com/repos/ezekielkibiego/BalanceInq,Java
BankApp,https://api.github.com/repos/ezekielkibiego/BankApp,Java
BankApp_Revised,https://api.github.com/repos/ezekielkibiego/BankApp_Revised,Java
Blog-Web,https://api.github.com/repos/ezekielkibiego/Blog-Web,HTML
blogsite,https://api.github.com/repos/ezekielkibiego/blogsite,Python
blog_site,https://api.github.com/repos/ezekielkibiego/blog_site,Python
boilerplate-npm,https://api.github.com/repos/ezekielkibiego/boilerplate-npm,
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
Akan-Names,https://api.github.com/repos/ezekielkibiego/Akan-Names,JavaScript
Anitas-Kitchen,https://api.github.com/repos/ezekielkibiego/Anitas-Kitchen,HTML
ApacheCamel-SpringBoot-Project,https://api.github.com/repos/ezekielkibiego/ApacheCamel-SpringBoot-Project,Java
apis,https://api.github.com/repos/ezekielkibiego/apis,Python
apis-js,https://api.github.com/repos/ezekielkibiego/apis-js,JavaScript
async,https://api.github.com/repos/ezekielkibiego/async,JavaScript
async-http-client,https://api.github.com/repos/ezekielkibiego/async-http-client,
auth_apis,https://api.github.com/repos/ezekielkibiego/auth_apis,Python
Awwwards,https://api.github.com/repos/ezekielkibiego/Awwwards,Python
BalanceInq,https://api.github.com/repos/ezekielkibiego/BalanceInq,Java
BankApp,https://api.github.com/repos/ezekielkibiego/BankApp,Java
BankApp_Revised,https://api.github.com/repos/ezekielkibiego/BankApp_Revised,Java
Blog-Web,https://api.github.com/repos/ezekielkibiego/Blog-Web,HTML
blogsite,https://api.github.com/repos/ezekielkibiego/blogsite,Python
blog_site,https://api.github.com/repos/ezekielkibiego/blog_site,Python
boilerplate-npm,https://api.github.com/repos/ezekielkibiego/boilerplate-npm,
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
Akan-Names,https://api.github.com/repos/ezekielkibiego/Akan-Names,JavaScript
Anitas-Kitchen,https://api.github.com/repos/ezekielkibiego/Anitas-Kitchen,HTML
ApacheCamel-SpringBoot-Project,https://api.github.com/repos/ezekielkibiego/ApacheCamel-SpringBoot-Project,Java
apis,https://api.github.com/repos/ezekielkibiego/apis,Python
apis-js,https://api.github.com/repos/ezekielkibiego/apis-js,JavaScript
async,https://api.github.com/repos/ezekielkibiego/async,JavaScript
async-http-client,https://api.github.com/repos/ezekielkibiego/async-http-client,
auth_apis,https://api.github.com/repos/ezekielkibiego/auth_apis,Python
Awwwards,https://api.github.com/repos/ezekielkibiego/Awwwards,Python
BalanceInq,https://api.github.com/repos/ezekielkibiego/BalanceInq,Java
BankApp,https://api.github.com/repos/ezekielkibiego/BankApp,Java
BankApp_Revised,https://api.github.com/repos/ezekielkibiego/BankApp_Revised,Java
Blog-Web,https://api.github.com/repos/ezekielkibiego/Blog-Web,HTML
blogsite,https://api.github.com/repos/ezekielkibiego/blogsite,Python
blog_site,https://api.github.com/repos/ezekielkibiego/blog_site,Python
boilerplate-npm,https://api.github.com/repos/ezekielkibiego/boilerplate-npm,
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
Akan-Names,https://api.github.com/repos/ezekielkibiego/Akan-Names,JavaScript
Anitas-Kitchen,https://api.github.com/repos/ezekielkibiego/Anitas-Kitchen,HTML
ApacheCamel-SpringBoot-Project,https://api.github.com/repos/ezekielkibiego/ApacheCamel-SpringBoot-Project,Java
apis,https://api.github.com/repos/ezekielkibiego/apis,Python
apis-js,https://api.github.com/repos/ezekielkibiego/apis-js,JavaScript
async,https://api.github.com/repos/ezekielkibiego/async,JavaScript
async-http-client,https://api.github.com/repos/ezekielkibiego/async-http-client,
auth_apis,https://api.github.com/repos/ezekielkibiego/auth_apis,Python
Awwwards,https://api.github.com/repos/ezekielkibiego/Awwwards,Python
BalanceInq,https://api.github.com/repos/ezekielkibiego/BalanceInq,Java
BankApp,https://api.github.com/repos/ezekielkibiego/BankApp,Java
BankApp_Revised,https://api.github.com/repos/ezekielkibiego/BankApp_Revised,Java
Blog-Web,https://api.github.com/repos/ezekielkibiego/Blog-Web,HTML
blogsite,https://api.github.com/repos/ezekielkibiego/blogsite,Python
blog_site,https://api.github.com/repos/ezekielkibiego/blog_site,Python
boilerplate-npm,https://api.github.com/repos/ezekielkibiego/boilerplate-npm,
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
Akan-Names,https://api.github.com/repos/ezekielkibiego/Akan-Names,JavaScript
Anitas-Kitchen,https://api.github.com/repos/ezekielkibiego/Anitas-Kitchen,HTML
ApacheCamel-SpringBoot-Project,https://api.github.com/repos/ezekielkibiego/ApacheCamel-SpringBoot-Project,Java
apis,https://api.github.com/repos/ezekielkibiego/apis,Python
apis-js,https://api.github.com/repos/ezekielkibiego/apis-js,JavaScript
async,https://api.github.com/repos/ezekielkibiego/async,JavaScript
async-http-client,https://api.github.com/repos/ezekielkibiego/async-http-client,
auth_apis,https://api.github.com/repos/ezekielkibiego/auth_apis,Python
Awwwards,https://api.github.com/repos/ezekielkibiego/Awwwards,Python
BalanceInq,https://api.github.com/repos/ezekielkibiego/BalanceInq,Java
BankApp,https://api.github.com/repos/ezekielkibiego/BankApp,Java
BankApp_Revised,https://api.github.com/repos/ezekielkibiego/BankApp_Revised,Java
Blog-Web,https://api.github.com/repos/ezekielkibiego/Blog-Web,HTML
blogsite,https://api.github.com/repos/ezekielkibiego/blogsite,Python
blog_site,https://api.github.com/repos/ezekielkibiego/blog_site,Python
boilerplate-npm,https://api.github.com/repos/ezekielkibiego/boilerplate-npm,
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
Akan-Names,https://api.github.com/repos/ezekielkibiego/Akan-Names,JavaScript
Anitas-Kitchen,https://api.github.com/repos/ezekielkibiego/Anitas-Kitchen,HTML
ApacheCamel-SpringBoot-Project,https://api.github.com/repos/ezekielkibiego/ApacheCamel-SpringBoot-Project,Java
apis,https://api.github.com/repos/ezekielkibiego/apis,Python
apis-js,https://api.github.com/repos/ezekielkibiego/apis-js,JavaScript
async,https://api.github.com/repos/ezekielkibiego/async,JavaScript
async-http-client,https://api.github.com/repos/ezekielkibiego/async-http-client,
auth_apis,https://api.github.com/repos/ezekielkibiego/auth_apis,Python
Awwwards,https://api.github.com/repos/ezekielkibiego/Awwwards,Python
BalanceInq,https://api.github.com/repos/ezekielkibiego/BalanceInq,Java
BankApp,https://api.github.com/repos/ezekielkibiego/BankApp,Java
BankApp_Revised,https://api.github.com/repos/ezekielkibiego/BankApp_Revised,Java
Blog-Web,https://api.github.com/repos/ezekielkibiego/Blog-Web,HTML
blogsite,https://api.github.com/repos/ezekielkibiego/blogsite,Python
blog_site,https://api.github.com/repos/ezekielkibiego/blog_site,Python
boilerplate-npm,https://api.github.com/repos/ezekielkibiego/boilerplate-npm,
bookmarks-api,https://api.github.com/repos/ezekielkibiego/bookmarks-api,TypeScript
building-rest-apis-spring-boot,https://api.github.com/repos/ezekielkibiego/building-rest-apis-spring-boot,
Calculator,https://api.github.com/repos/ezekielkibiego/Calculator,HTML
Calendar,https://api.github.com/repos/ezekielkibiego/Calendar,JavaScript
CalorieT,https://api.github.com/repos/ezekielkibiego/CalorieT,JavaScript
camel,https://api.github.com/repos/ezekielkibiego/camel,
camel-1,https://api.github.com/repos/ezekielkibiego/camel-1,
CAPSTONE,https://api.github.com/repos/ezekielkibiego/CAPSTONE,
Career_Hub,https://api.github.com/repos/ezekielkibiego/Career_Hub,Python
charts,https://api.github.com/repos/ezekielkibiego/charts,
cicd-pipeline-train-schedule-autodeploy,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autodeploy,JavaScript
cicd-pipeline-train-schedule-autoscaling,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-autoscaling,JavaScript
cicd-pipeline-train-schedule-cd,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-cd,JavaScript
cicd-pipeline-train-schedule-docker,https://api.github.com/repos/ezekielkibiego/cicd-pipeline-train-schedule-docker,JavaScript
